customer_id,age,revenue,country,plan,signup_date
C0080,51,2267.74,Germany,Enterprise,2025-08-26
C0081,55,2979.88,Germany,Enterprise,2025-09-27
C0082,70,1812.97,US,Enterprise,2025-10-01
C0083,66,2401.03,Germany,Enterprise,2025-11-02
C0084,47,2502.16,Germany,Enterprise,2025-12-03
C0085,53,2990.08,US,Enterprise,2025-01-04
C0086,54,2901.49,Germany,Pro,2025-02-05
C0087,56,1790.23,Germany,Pro,2025-03-06
C0088,68,1666.48,Germany,Enterprise,2025-04-07
C0089,79,2179.36,Germany,Enterprise,2025-05-08
C0090,74,2792.83,Germany,Enterprise,2025-06-09
C0091,68,2688.01,Germany,Enterprise,2025-07-10
C0092,57,2634.22,US,Enterprise,2025-08-11
C0093,74,2309.62,Germany,Enterprise,2025-09-12
C0094,56,2282.05,US,Enterprise,2025-10-13
C0095,82,1566.58,Germany,Enterprise,2025-11-14
C0096,66,1956.37,Germany,Enterprise,2025-12-15
C0097,60,2527.72,US,Enterprise,2025-01-16
C0098,69,2704.21,US,Enterprise,2025-02-17
C0099,56,2966.38,Germany,Enterprise,2025-03-18
C0100,58,2886.55,Germany,Pro,2025-04-19
C0101,68,2708.29,Germany,Enterprise,2025-05-20
C0102,62,1780.24,Germany,Enterprise,2025-06-21
C0103,71,2869.9,Germany,Enterprise,2025-07-22
C0104,59,2769.85,Germany,Enterprise,2025-08-23
C0105,66,2776.96,Germany,Enterprise,2025-09-24
C0106,48,2488.06,US,Enterprise,2025-10-25
C0107,64,2855.83,Germany,Pro,2025-11-26
C0108,79,2019.43,Germany,Enterprise,2025-12-27
C0109,48,1507.63,US,Enterprise,2025-01-01
C0110,63,1368.85,Germany,Pro,2025-02-02
C0111,69,2611.39,US,Enterprise,2025-03-03
C0112,79,1508.17,Germany,Enterprise,2025-04-04
C0113,63,1379.89,US,Enterprise,2025-05-05
C0114,80,2966.05,US,Enterprise,2025-06-06
C0115,59,1955.59,US,Pro,2025-07-07
C0116,68,2421.67,Germany,Enterprise,2025-08-08
C0117,66,2212.81,Germany,Pro,2025-09-09
C0118,67,2024.32,Germany,Enterprise,2025-10-10
C0119,55,1645.3,Germany,Pro,2025-11-11
C0120,58,2407.93,US,Pro,2025-12-12
C0121,82,2800.72,Germany,Enterprise,2025-01-13
C0122,60,2073.79,Germany,Pro,2025-02-14
C0123,67,2136.97,Germany,Pro,2025-03-15
C0124,60,2220.1,US,Enterprise,2025-04-16
C0125,52,1810.81,US,Enterprise,2025-05-17
C0126,68,1468.09,Germany,Enterprise,2025-06-18
C0127,66,1704.34,US,Pro,2025-07-19
C0128,48,1383.19,US,Enterprise,2025-08-20
C0129,51,2119.75,Germany,Enterprise,2025-09-21
C0130,59,2593.03,Germany,Enterprise,2025-10-22
C0131,72,1739.17,Germany,Enterprise,2025-11-23
C0132,47,2906.8,US,Enterprise,2025-12-24
C0133,61,1616.59,US,Enterprise,2025-01-25
C0134,76,1390.39,Germany,Enterprise,2025-02-26
C0135,76,1540.0,Germany,Enterprise,2025-03-27
C0136,80,3078.22,Germany,Enterprise,2025-04-01
C0137,75,2402.77,Germany,Enterprise,2025-05-02
C0138,74,2795.02,US,Pro,2025-06-03
C0139,57,2638.57,Germany,Enterprise,2025-07-04
C0140,63,2653.21,Germany,Enterprise,2025-08-05
C0141,80,2172.28,Germany,Enterprise,2025-09-06
C0142,75,1439.47,Germany,Enterprise,2025-10-07
C0143,64,1904.53,Germany,Enterprise,2025-11-08
C0144,55,1571.5,Germany,Enterprise,2025-12-09
C0145,56,2571.55,Germany,Enterprise,2025-01-10
C0146,73,1895.59,Germany,Enterprise,2025-02-11
C0147,50,1672.3,Germany,Enterprise,2025-03-12
C0148,48,2842.12,Germany,Enterprise,2025-04-13
C0149,77,1310.62,Germany,Enterprise,2025-05-14
C0150,71,2836.21,US,Enterprise,2025-06-15
C0151,81,2739.76,Germany,Enterprise,2025-07-16
C0152,61,1791.28,Germany,Enterprise,2025-08-17
C0153,71,1905.04,US,Pro,2025-09-18
C0154,57,2812.9,US,Enterprise,2025-10-19
C0155,81,1348.54,Germany,Enterprise,2025-11-20
C0156,83,2493.4,US,Enterprise,2025-12-21
C0157,74,1544.26,Germany,Pro,2025-01-22
C0158,50,1768.27,Germany,Enterprise,2025-02-23
C0159,76,1888.33,Germany,Enterprise,2025-03-24
C0160,73,1754.08,US,Enterprise,2025-04-25
C0161,48,2648.23,Germany,Enterprise,2025-05-26
C0162,61,2470.27,US,Pro,2025-06-27
C0163,48,3009.31,US,Pro,2025-07-01
C0164,56,1729.39,US,Enterprise,2025-08-02
C0165,54,2315.14,US,Pro,2025-09-03
C0166,63,2680.42,US,Enterprise,2025-10-04
C0167,54,2700.04,Germany,Enterprise,2025-11-05
C0168,53,2341.63,US,Enterprise,2025-12-06
C0169,71,2013.97,Germany,Enterprise,2025-01-07
C0170,51,2365.78,Germany,Enterprise,2025-02-08
C0171,53,2554.96,Germany,Enterprise,2025-03-09
C0172,54,2733.22,Germany,Enterprise,2025-04-10
C0173,69,2258.95,Germany,Enterprise,2025-05-11
C0174,51,2210.74,Germany,Pro,2025-06-12
C0175,73,2780.2,Germany,Enterprise,2025-07-13
C0176,70,2444.05,US,Enterprise,2025-08-14
C0177,56,2083.87,Germany,Enterprise,2025-09-15
C0178,64,2408.65,Germany,Enterprise,2025-10-16
C0179,76,2084.02,US,Pro,2025-11-17
C0180,64,1880.14,Germany,Pro,2025-12-18
