customer_id,age,revenue,country,plan,signup_date
C0053,53,228.54,India,Pro,2025-05-26
C0054,58,445.73,India,Basic,2025-06-27
C0055,48,214.25,India,Pro,2025-07-01
C0056,49,312.58,UK,Basic,2025-08-02
C0057,25,504.02,US,Basic,2025-09-03
C0058,25,341.57,UK,Basic,2025-10-04
C0059,37,214.95,US,Basic,2025-11-05
C0060,30,353.13,UK,Basic,2025-12-06
C0061,37,624.69,India,Basic,2025-01-07
C0062,57,158.75,US,Pro,2025-02-08
C0063,22,681.4,India,Basic,2025-03-09
C0064,48,391.38,India,Basic,2025-04-10
C0065,25,198.78,India,Basic,2025-05-11
C0066,38,655.91,UK,Basic,2025-06-12
C0067,49,517.95,US,Pro,2025-07-13
C0068,53,192.88,UK,Basic,2025-08-14
C0069,25,447.51,US,Basic,2025-09-15
C0070,42,134.3,US,Basic,2025-10-16
C0071,54,651.63,US,Basic,2025-11-17
C0072,25,676.47,India,Basic,2025-12-18
C0073,26,457.02,US,Basic,2025-01-19
C0074,47,171.93,US,Basic,2025-02-20
C0075,24,471.63,UK,Pro,2025-03-21
C0076,58,413.67,UK,Basic,2025-04-22
C0077,42,243.21,UK,Basic,2025-05-23
C0078,41,374.33,India,Basic,2025-06-24
C0079,51,472.7,US,Basic,2025-07-25
C0080,26,422.58,US,Basic,2025-08-26
C0081,30,659.96,India,Basic,2025-09-27
C0082,45,270.99,UK,Pro,2025-10-01
C0083,41,467.01,US,Pro,2025-11-02
C0084,22,500.72,US,Basic,2025-12-03
C0085,28,663.36,India,Basic,2025-01-04
C0086,29,633.83,US,Pro,2025-02-05
C0087,31,263.41,US,Basic,2025-03-06
C0088,43,222.16,US,Basic,2025-04-07
C0089,54,393.12,India,Basic,2025-05-08
C0090,49,597.61,India,Basic,2025-06-09
C0091,43,562.67,US,Basic,2025-07-10
C0092,32,544.74,US,Pro,2025-08-11
C0093,49,436.54,India,Basic,2025-09-12
C0094,31,427.35,UK,Pro,2025-10-13
C0095,57,188.86,India,Basic,2025-11-14
C0096,41,318.79,India,Basic,2025-12-15
C0097,35,509.24,US,Basic,2025-01-16
C0098,44,568.07,UK,Pro,2025-02-17
C0099,31,655.46,India,Basic,2025-03-18
C0100,33,628.85,India,Basic,2025-04-19
C0101,43,569.43,UK,Pro,2025-05-20
C0102,37,260.08,US,Basic,2025-06-21
C0103,46,623.3,UK,Basic,2025-07-22
C0104,34,589.95,UK,Basic,2025-08-23
C0105,41,592.32,India,Basic,2025-09-24
C0106,23,496.02,UK,Basic,2025-10-25
C0107,39,618.61,UK,Basic,2025-11-26
C0108,54,339.81,US,Basic,2025-12-27
C0109,23,169.21,UK,Basic,2025-01-01
C0110,38,122.95,US,Basic,2025-02-02
C0111,44,537.13,UK,Basic,2025-03-03
C0112,54,169.39,US,Basic,2025-04-04
C0113,38,126.63,UK,Basic,2025-05-05
C0114,55,655.35,US,Pro,2025-06-06
C0115,34,318.53,India,Pro,2025-07-07
C0116,43,473.89,US,Basic,2025-08-08
C0117,41,404.27,US,Basic,2025-09-09
C0118,42,341.44,UK,Pro,2025-10-10
C0119,30,215.1,US,Basic,2025-11-11
C0120,33,469.31,UK,Basic,2025-12-12
C0121,57,600.24,UK,Basic,2025-01-13
C0122,35,357.93,US,Pro,2025-02-14
C0123,42,378.99,UK,Pro,2025-03-15
C0124,35,406.7,US,Basic,2025-04-16
C0125,27,270.27,US,Pro,2025-05-17
C0126,43,156.03,India,Pro,2025-06-18
C0127,41,234.78,India,Basic,2025-07-19
C0128,23,127.73,UK,Pro,2025-08-20
C0129,26,373.25,US,Pro,2025-09-21
C0130,34,531.01,UK,Basic,2025-10-22
C0131,47,246.39,US,Pro,2025-11-23
C0132,22,635.6,India,Basic,2025-12-24
C0133,36,205.53,US,Pro,2025-01-25
C0134,51,130.13,India,Basic,2025-02-26
C0135,51,180.0,UK,Pro,2025-03-27
C0136,55,692.74,US,Basic,2025-04-01
C0137,50,467.59,US,Pro,2025-05-02
C0138,49,598.34,US,Basic,2025-06-03
C0139,32,546.19,UK,Basic,2025-07-04
C0140,38,551.07,US,Basic,2025-08-05
C0141,55,390.76,India,Basic,2025-09-06
C0142,50,146.49,UK,Basic,2025-10-07
C0143,39,301.51,US,Basic,2025-11-08
C0144,30,190.5,UK,Pro,2025-12-09
C0145,31,523.85,India,Basic,2025-01-10
C0146,48,298.53,UK,Basic,2025-02-11
C0147,25,224.1,UK,Basic,2025-03-12
C0148,23,614.04,US,Basic,2025-04-13
C0149,52,103.54,UK,Basic,2025-05-14
C0150,46,612.07,UK,Pro,2025-06-15
C0151,56,579.92,India,Basic,2025-07-16
C0152,36,263.76,UK,Basic,2025-08-17
C0153,46,301.68,US,Basic,2025-09-18
C0154,32,604.3,India,Pro,2025-10-19
C0155,56,116.18,UK,Pro,2025-11-20
C0156,58,497.8,India,Pro,2025-12-21
C0157,49,181.42,UK,Basic,2025-01-22
C0158,25,256.09,UK,Basic,2025-02-23
C0159,51,296.11,UK,Basic,2025-03-24
C0160,48,251.36,India,Basic,2025-04-25
C0161,23,549.41,India,Basic,2025-05-26
C0162,36,490.09,US,Basic,2025-06-27
C0163,23,669.77,India,Basic,2025-07-01
C0164,31,243.13,UK,Pro,2025-08-02
C0165,29,438.38,India,Basic,2025-09-03
C0166,38,560.14,India,Pro,2025-10-04
C0167,29,566.68,India,Basic,2025-11-05
C0168,28,447.21,UK,Pro,2025-12-06
C0169,46,337.99,US,Basic,2025-01-07
C0170,26,455.26,US,Basic,2025-02-08
C0171,28,518.32,UK,Pro,2025-03-09
C0172,29,577.74,US,Basic,2025-04-10
C0173,44,419.65,US,Basic,2025-05-11
C0174,26,403.58,UK,Basic,2025-06-12
C0175,48,593.4,India,Basic,2025-07-13
C0176,45,481.35,UK,Pro,2025-08-14
C0177,31,361.29,US,Pro,2025-09-15
C0178,39,469.55,US,Basic,2025-10-16
C0179,51,361.34,US,Pro,2025-11-17
C0180,39,293.38,India,Basic,2025-12-18
